Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Free Food for the People (The West Philly Bunny Hop),https://www.auntbertha.com//the-west-philly-bunny-hop--yeadon-pa--free-food-for-the-people/6566876511207424?postal=19125,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",484-238-0437,https://www.bunnyhopphl.com/events,"6250 Baltimore Avenue West Philadelphia Philadelphia Lower Merion Township, PA 19050","https://www.google.com/maps/place/The+West+Philly+Bunny+Hop/@39.9420674,-75.2498131,17z/data=!3m1!4b1!4m6!3m5!1s0x89c6c6b2d096eddb:0x7e432ec0671a1e7f!8m2!3d39.9420674!4d-75.2472382!16s%2Fg%2F11kptf2n4m?entry=ttu",['Anyone can access this program.'],available,"The West Philly Bunny Hop distributes food to anyone in need at walk-up sites in Philadelphia. This program provides:- Food to meet basic nutritional needs Walk-up sites are first come, first serve.",['English'],Free,No,https://www.facebook.com/bunnyhopphl/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9420674,-75.2498131,19050,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0,Food
Food Pantry (The Salvation Army of Greater Philadelphia),https://www.auntbertha.com//the-salvation-army-of-greater-philadelphia--philadelphia-pa--food-pantry/5312579722018816?postal=19134,['emergency food'],['emergency food'],"['all ages', 'individuals', 'families']",570-421-3050,https://easternusa.salvationarmy.org/eastern-pennsylvania/alleviate-hunger/,"1340 Brown Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1340+Brown+Street,+Philadelphia,+PA+19123/",['Must live within our service area.'],available,The Salvation Army provides food supplies to individuals and families in need of assistance. This program provides:- Food to meet basic nutritional needs You must be registered for the food pantry 2 weeks prior.,['English'],Free,No,https://www.facebook.com/SalvationArmyPhiladelphia,https://www.twitter.com/@SalArmyPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9677192,-75.159372,19123,No,7:00AM - 4:00PM,7:00AM - 4:00PM,7:00AM - 4:00PM,7:00AM - 4:00PM,Closed,Closed,Closed,0,Food
Food Distribution (The Greater Philadelphia Community Alliance),https://www.auntbertha.com//the-greater-philadelphia-community-alliance--philadelphia-pa--food-distribution/5802794918608896?postal=19134,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'low-income']",215-468-1645,https://gpca-phila.org/,"2029 South 8th Street, Philadelphia, PA 19148","https://www.google.com/maps/?q=2029+South+8th+Street,+Philadelphia,+PA+19148/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"We are currently signing up seniors who are 60 years+ for FREE SENIOR FOOD BOXES from our Houston Center location - 2029 S 8th St. Please reach out to us to sign up!

Houston Center 
2029 S 8th St 
215-468-1645

SOUTH PHILLY FOOD DISTRIBUTION SITES 
SEAMAAC - 1711 S Broad St - Mondays and Tuesdays 10-2pm - 215-467-0690

South Philadelphia High School - 2101 Broad St - Fridays 2-3:30pm - 215-847 -5154

Church of Pentecost - 2530 Wharton St - Wednesdays through Fridays 11am-2pm - 215-372-7307

Young Chances Foundation - 2703 Tasker St - Thursdays 11am-4pm - 267-585-2923

Mighty Writers El Futuro - 1025 S 9th St - Mondays through Fridays 11:30am-1pm - 215-602-0236

Macaroni Older Adult Program (60 or older must reserve ahead) - 2433 S 15th St - 215-765-9040

South Philly Older Adult Center (55 or older, no reservation necessary) - 1430 E Passyunk Ave - 215-685-1697

Philadelphia Senior Center Avenue of the Arts - 509 S Broad St (60 or older) - 509 S Broad St - 215-546-5879

St Edmonds Senior Community Center (60 or older) - 2130 S 21st St - 215-790-9530","['American Sign Language', 'English', 'Khmer', 'Spanish', 'Vietnamese']",Free,Yes,https://www.facebook.com/UCSEP,https://www.twitter.com/@UCPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.923234,-75.1595316,19148,No,8:30AM - 6:00PM,8:30AM - 6:00PM,8:30AM - 6:00PM,8:30AM - 6:00PM,8:30AM - 6:00PM,Closed,Closed,4.4,Food
Homeless Shelter (Stenton Family Manor),https://www.auntbertha.com//stenton-family-manor--philadelphia-pa--homeless-shelter/5186727883833344?postal=19114,['temporary shelter'],"['meals', 'personal hygiene']","['all ages', 'homeless']",215-685-2800,None,"1300 East Tulpehocken Street,  Philadelphia,  PA  19138","https://www.google.com/maps/?q=1300+East+Tulpehocken+Street,+Philadelphia,+PA+19138/","['For homeless individuals residing in the Philadelphia, PA area.']",available,Stenton Family Manor offers a homeless shelter to those in need of a place to stay.This program provides:- Temporary shelter Intake process is done at the Apple Tree Family Center.,"['English', 'Haitian']",Free,Yes,https://www.facebook.com/StentonFamilyManor,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0559837,-75.1647762,19119,No,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,3.5,Food
Food Baskets (St. Barbara's Roman Catholic Church),https://www.auntbertha.com//st.-barbara%2527s-roman-catholic-church--philadelphia-pa--food-baskets/5175494499368960?postal=19125,['emergency food'],['emergency food'],"['anyone in need', 'all ages', 'individuals', 'families']",215-473-1044,https://stbarbphila.org/events/food-pantry-ph,"5359 Lebanon Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5359+Lebanon+Avenue,+Philadelphia,+PA+19131/",[Follow the Next Steps to find out if this program has eligibility criteria.],temporarily closed,"St. Barbara's Roman Catholic Church helps alleviate hunger in the community in an environment of respect, care and hospitality. This program provides:  - Food to meet basic nutritional needsPlease call for any updated information.",['English'],Free,Yes,https://www.facebook.com/Saint-Barbara-Church-Phila-327434157812615,https://www.twitter.com/@SaintBarbPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9879752,-75.2314405,19131,No,Closed,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,6:30PM - 8:00PM,12:00PM - 6:00PM,Closed,4.4,Food
Emergency Disaster Services (Salvation Army Eastern Pennsylvania and Delaware),https://www.auntbertha.com//salvation-army-eastern-pennsylvania-%2526-delaware--philadelphia-pa--emergency-disaster-services/5161629360586752?postal=19134,"['disaster response', 'emergency food', 'temporary shelter', 'clothing', 'spiritual support']","['disaster response', 'emergency food', 'temporary shelter', 'clothing', 'spiritual support']","['all ages', 'natural disaster survivors', 'emergency']",215-825-4631,https://easternusa.salvationarmy.org/eastern-pennsylvania/help-disaster-survivors/,"701 North Broad Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=701+North+Broad+Street,+Philadelphia,+PA+19123/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"When disaster strikes, The Salvation Army is oftenAMong the first on the scene. In disaster relief operation, The Salvation Army's first aim is to meet the basic needs of those affected _ both survivors and first responders.This program provides:- Food- Disaster shelter- Financial assistance- Spiritual care- Emotional carePlease call this provider for more information.",['English'],Free,Yes,https://www.facebook.com/SalArmyEDS,https://www.twitter.com/@SalArmyEDS,"This program covers residents of the following counties: Adams County, PA, Berks County, PA, Bradford County, PA, Bucks County, PA, Carbon County, PA, Centre County, PA, Chester County, PA, Clinton County, PA, Columbia County, PA, Cumberland County, PA, Dauphin County, PA, Delaware County, PA, Franklin County, PA, Juniata County, PA, Lackawanna County, PA, Lancaster County, PA, Lebanon County, PA, Lehigh County, PA, Luzerne County, PA, Lycoming County, PA, Mifflin County, PA, Monroe County, PA, Montgomery County, PA, Montour County, PA, Northampton County, PA, Northumberland County, PA, Perry County, PA, Philadelphia County, PA, Pike County, PA, Potter County, PA, Schuylkill County, PA, Snyder County, PA, Sullivan County, PA, Susquehanna County, PA, Tioga County, PA, Union County, PA, Wayne County, PA, Wyoming County, PA and York County, PA.",39.9672863,-75.1599648,19123,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,3.5,Food
Saint Helena Parish Food Cupboard (Saint Helena),https://www.auntbertha.com//saint-helena--philadelphia-pa--st.-helena-food-cupboard/5017006984921088?postal=19126,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",267-900-5935,https://sainthelenaparish.net/act/food-cupboard/,"6161 North 5th Street, Philadelphia, PA 19120","https://www.google.com/maps/?q=6161+North+5th+Street,+Philadelphia,+PA+19120/","['Must live in postal code 19111, 19120 or 19126.']",available,The Saint Helena Food Bank provides critical food resources to those in need. The nutrition they supply is critical to individuals and families who may otherwise go hungry.This program provides:- Food to meet nutritional needs- Specially designed Senior BoxesClients can visit once per month. Please call us for more information.,['English'],Free,Yes,https://www.facebook.com/sainthelenaparish,None,"This program covers residents of the following postal codes: 19111, 19120 and 19126.",40.0453383,-75.128017,19120,No,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,4.6,Food
Food Pantry (Rock Ministries of Philadelphia),https://www.auntbertha.com//rock-ministries-of-philadelphia--philadelphia-pa--food-pantry/5640139036164096?postal=19134,"['emergency food', 'food pantry', 'clothing', 'navigating the system', 'spiritual support']","['help find housing', 'addiction & recovery']","['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'substance dependency', 'alcohol dependency']",215-739-3927,https://www.therockphilly.org/,"2755 Kensington Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=2755+Kensington+Avenue,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"Rock Ministries of Philadelphia offers their food pantry and community outreach services to supply food, clothing, and resources to all people in need.This program provides:- Food distribution- Clothing- Help finding treatment options, such as detox- Help finding shelter- Faith based supportAnyone in need of emergency food or clothing can call to request assistance. Those in need of non-emergency food or clothing can visit the church after service on Sunday to sign up. After signing up, individuals can pick up the items on the following Wednesday.",['English'],Free,Yes,https://www.facebook.com/therockministry,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9907975,-75.1232852,19124,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.7,Food
Grab and Go Meals (Old Pine Community Center),https://www.auntbertha.com//old-pine-community-center-%2528opcc%2529--philadelphia-pa--grab-and-go-meals/5481658659373056?postal=19134,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",215-627-2493,https://oldpinecommunitycenter.org/programs-services/#food,"401 Lombard Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=401+Lombard+Street,+Philadelphia,+PA+19147/",['Anyone can access this service.'],available,The Old Pine Community Center provides Grab and Go Meals to those who need them. They supply critical nutrition to hungry individuals.This program provides:- Meals to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/OldPineCommunityCenter/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9430397,-75.1495234,19146,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.6,Food
Food Cupboard (Neighbor to Neighbor Community Development Corporation Inc),https://www.auntbertha.com//neighbor-to-neighbor-community-development-corporation%252C-inc.--sharon-hill-pa--food-cupboard/5147295688687616?postal=19113,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['all ages', 'individuals', 'families', 'low-income']",610-461-8140,https://n2ncdc.org/programs-services.html,"814 Clifton Avenue, Sharon Hill, PA 19079","https://www.google.com/maps/?q=814+Clifton+Avenue,+Sharon+Hill,+PA+19079/",['This program serves Delaware County residents.'],available,"Neighbor to Neighbor's Food Cupboard, a food program, for Delaware County residents, delivers urgently needed food to low-income community residents. Each food package provides breakfast, lunch and dinner.This program provides:- Fresh vegetables & fruits- Dairy items- Eggs- Canned goods- Baked goods & pastries- Cereal- Poultry, fish, & meatWhen available, infant foods dietary supplements are distributed.Eligible households receive food packages one Thursday per month. Food packages may also be distributed on an emergency or one-time basis for any community household in need.In response to the COVID-19 pandemic, Neighbor to Neighbor Community Development Corporation, Inc. is no longer permitting non-essential staff inside of our building. When you arrive to utilize the food pantry. Please remain outside and a staff member will come to you.",['English'],Free,Yes,https://www.facebook.com/pages/category/Community-Organization/Neighbor-2-Neighbor-Darby-Twp-Sharon-Hill-1925119057550479/,None,"This program covers residents of the following counties: Delaware County, PA.",39.8999092,-75.2691693,19079,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4,Food
