cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,lat,lng
3209748,0101000020110F000056CEA5A50CDF5FC1C845580DAC995241,18330295,7,1,2024-07-15 00:06:00+00,7/14/24,20:06:00,20,2.02E+11,1800 BLOCK ARNOLD ST,400,Aggravated Assault No Firearm,40.06884852,-75.05304353
3253034,0101000020110F00006FBD3A2B1CE55FC1A0D46EE867945241,18363320,2,2,2024-07-15 00:10:00+00,7/14/24,20:10:00,20,2.02E+11,5200 BLOCK E TABOR RD,600,Theft from Vehicle,40.03176689,-75.10879376
3249060,0101000020110F000006F7B7E25BF25FC120ED732B6F7F5241,18398978,77,A,2024-07-15 00:12:00+00,7/14/24,20:12:00,20,2.02E+11,Pia Economy Parking Lot,600,Theft from Vehicle,39.883896,-75.230667
3256388,0101000020110F0000D1706519EBEA5FC1F2A10CDAF8965241,18341908,14,1,2024-07-15 00:14:00+00,7/14/24,20:14:00,20,2.02E+11,1000 BLOCK E PRICE ST,2600,All Other Offenses,40.0498391,-75.16222305
3211165,0101000020110F0000AA2CE8E6A4F15FC1B0527048DF8C5241,18284983,19,3,2024-07-15 00:18:00+00,7/14/24,20:18:00,20,2.02E+11,1500 BLOCK N 52ND ST,600,Thefts,39.97868367,-75.22409192
3251702,0101000020110F0000A51347D693F25FC16F997CCB40855241,18340568,12,3,2024-07-15 00:28:00+00,7/14/24,20:28:00,20,2.02E+11,6400 BLOCK PASCHALL AV,800,Other Assaults,39.92495672,-75.23267748
3251083,0101000020110F0000F899604A7EF15FC1FFFFD9BC09885241,18338985,12,4,2024-07-15 00:32:00+00,7/14/24,20:32:00,20,2.02E+11,900 BLOCK S PAXON ST,1400,Vandalism/Criminal Mischief,39.9445999,-75.22270451
3257594,0101000020110F0000C96A8D5E7CE85FC1F6CF39B072915241,18410027,25,1,2024-07-15 00:35:00+00,7/14/24,20:35:00,20,2.02E+11,700 BLOCK W PIKE ST,1400,Vandalism/Criminal Mischief,40.0109302,-75.13984674
3145693,0101000020110F0000EE1D398022E25FC16A4569FFBA925241,18424912,15,1,2024-07-15 00:39:00+00,7/14/24,20:39:00,20,2.02E+11,4900 BLOCK FRANKFORD AV,400,Aggravated Assault No Firearm,40.01996519,-75.08142504
3259442,0101000020110F00003972F75D90E85FC16FD37098BC8E5241,18414004,26,1,2024-07-15 00:40:00+00,7/14/24,20:40:00,20,2.02E+11,500 BLOCK W LEHIGH AV,800,Other Assaults,39.991825,-75.14056531
3174869,0101000020110F0000BC5E1EB1BEE95FC1A1CD053ACB965241,18322321,35,3,2024-07-15 00:45:00+00,7/14/24,20:45:00,20,2.02E+11,1900 BLOCK W GODFREY AV,300,Robbery No Firearm,40.04858413,-75.15142863
3232577,0101000020110F0000AA2CE8E6A4F15FC1B0527048DF8C5241,18355536,19,3,2024-07-15 00:45:00+00,7/14/24,20:45:00,20,2.02E+11,1500 BLOCK N 52ND ST,600,Thefts,39.97868367,-75.22409192
