subject,relation,object
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),latitude,39.9677192
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),category,FoodPantry
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),language,English
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),audience,Families
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),cost,Free
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),audience,Individuals
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),audience,AnyoneInNeed
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),availability,Available
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),audience,AllAges
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),category,FoodPantry
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),service type,Food
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),postalCode,"""19123"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),url,"""https://www.facebook.com/SalvationArmyUSA"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),url,"""https://www.twitter.com/@SalvationArmyUS"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),identifier,"""Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)_6322661409292288"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),name,""""""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),name,"""Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),hasMap,XMLSchema#anyUri
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),areaServed,"""This program covers residents of the following cities: Bethlehem, PA, Boyertown, PA, Carlisle, PA, Chester, PA, Coatesville, PA, Darby, PA, East Stroudsburg, PA, Lebanon, PA, Philadelphia, PA, Pottsville, PA, Sunbury, PA and Allentown, PA."""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),provider,Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),address,"""1340 Brown Street, Philadelphia, PA 19123"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),longitude,XMLSchema#decimal
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),availableChannel,AB-Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),availableChannel,P-Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),containedInPlace,19123
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),description,Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),telephone,"""tel:+1-215-787-2962"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),text,"""Salvation Army Eastern Pennsylvania & Delaware provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood is always free, but some locations require appointments while others operate on a walk-in, first come first served basis. Call your local Salvation Army office to determine which days their food pantries serve your area."""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Friday Closed"
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Monday from 08:00 to 16:00"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Thursday Closed"
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Sunday Closed"
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Saturday Closed"
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Wednesday from 08:00 to 16:00"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),xmlschema11-2#time,"""Tuesday from 08:00 to 16:00"""
Food Pantries (Salvation Army Eastern Pennsylvania & Delaware),conditionsOfAccess,"""Anyone can access this program."""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),latitude,40.040964
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),latitude,39.9610016
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,NavigatingTheSystem
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,Clothing
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,SkillsAndTraining
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),language,English
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),availability,Available
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,InterviewTraining
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,HelpFindWork
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,SupportNetwork
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,ResumeDevelopment
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,Meals
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,SpiritualSupport
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,Clothing
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,FinancialEducation
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,FoodPantry
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,SpiritualSupport
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,Meals
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,ToysAndGifts
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,SkillsAndTraining
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,InterviewTraining
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,ToysAndGifts
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),audience,Homeless
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,FinancialEducation
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),cost,Free
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,Counseling
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),audience,AllAges
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,NavigatingTheSystem
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),audience,LowIncome
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,Counseling
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,ParentingEducation
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,FoodPantry
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),audience,NearHomeless
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),audience,Individuals
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,HelpFindWork
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),audience,Families
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,ResumeDevelopment
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,SupportNetwork
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),category,ParentingEducation
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),service type,Food
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),service type,Mental Health
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),postalCode,"""19128"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),postalCode,"""19139"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),url,"""https://www.twitter.com/@SalArmyPhilly"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),url,"""https://www.facebook.com/SalvationArmyPhiladelphia"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),identifier,"""Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)_4620877509427200"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),name,"""Social Services Program (Salvation Army Eastern Pennsylvania & Delaware)"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),name,""""""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),name,"""Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)"""
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),hasMap,XMLSchema#anyUri
Social Services Program (Salvation Army Eastern Pennsylvania and Delaware),hasMap,XMLSchema#anyUri
