subject,relation,object
Autism Integrated Care Program (Children's Hospital of Philadelphia),latitude,39.9487265
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,DisabilityScreening
Autism Integrated Care Program (Children's Hospital of Philadelphia),audience,YoungAdults
Autism Integrated Care Program (Children's Hospital of Philadelphia),language,English
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,MentalHealthEvaluation
Autism Integrated Care Program (Children's Hospital of Philadelphia),availability,Available
Autism Integrated Care Program (Children's Hospital of Philadelphia),cost,ReducedCost
Autism Integrated Care Program (Children's Hospital of Philadelphia),audience,Children
Autism Integrated Care Program (Children's Hospital of Philadelphia),audience,BenefitRecipients
Autism Integrated Care Program (Children's Hospital of Philadelphia),audience,Autism
Autism Integrated Care Program (Children's Hospital of Philadelphia),audience,Teens
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,MentalHealthCare
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,CheckupAndTest
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,FamilyCounseling
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,UnderstandMentalHealth
Autism Integrated Care Program (Children's Hospital of Philadelphia),category,SpecializedTherapy
Autism Integrated Care Program (Children's Hospital of Philadelphia),service type,Mental Health
Autism Integrated Care Program (Children's Hospital of Philadelphia),postalCode,"""19104"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),url,"""https://www.facebook.com/ChildrensHospitalofPhiladelphia"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),url,"""https://www.twitter.com/@ChildrensPhila"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),identifier,"""Autism Integrated Care Program (Children's Hospital of Philadelphia)_4813909593948160"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),name,"""Autism Integrated Care Program (Children's Hospital of Philadelphia)"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),name,""""""
Autism Integrated Care Program (Children's Hospital of Philadelphia),hasMap,XMLSchema#anyUri
Autism Integrated Care Program (Children's Hospital of Philadelphia),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Autism Integrated Care Program (Children's Hospital of Philadelphia),provider,Autism Integrated Care Program (Children's Hospital of Philadelphia)
Autism Integrated Care Program (Children's Hospital of Philadelphia),address,"""3401 Civic Center Blvd., Philadelphia, PA 19104"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),longitude,XMLSchema#decimal
Autism Integrated Care Program (Children's Hospital of Philadelphia),availableChannel,AB-Autism Integrated Care Program (Children's Hospital of Philadelphia)
Autism Integrated Care Program (Children's Hospital of Philadelphia),availableChannel,P-Autism Integrated Care Program (Children's Hospital of Philadelphia)
Autism Integrated Care Program (Children's Hospital of Philadelphia),containedInPlace,19104
Autism Integrated Care Program (Children's Hospital of Philadelphia),description,Autism Integrated Care Program (Children's Hospital of Philadelphia)
Autism Integrated Care Program (Children's Hospital of Philadelphia),telephone,"""tel:+1-215-590-7500"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),text,"""The Autism Integrated Care Program evaluates new patients for autism spectrum disorder (ASD). We also provide follow-up care to children with ASD in our Primary and Specialty Care locations.Services Available:- Mental health evaluation- Followup care- Autism Workshops"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Saturday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Friday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Wednesday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Tuesday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Monday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Sunday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),xmlschema11-2#time,"""Thursday from 00:00 to 23:59"""
Autism Integrated Care Program (Children's Hospital of Philadelphia),conditionsOfAccess,""""""
Support Services (Clothed N Strength Inc),latitude,40.0322663
Support Services (Clothed N Strength Inc),category,AddictionAndRecovery
Support Services (Clothed N Strength Inc),cost,Free
Support Services (Clothed N Strength Inc),category,PersonalCareItems
Support Services (Clothed N Strength Inc),category,HelpFindHealthcare
Support Services (Clothed N Strength Inc),audience,SingleParent
Support Services (Clothed N Strength Inc),audience,Individuals
Support Services (Clothed N Strength Inc),category,HelpFindHousing
Support Services (Clothed N Strength Inc),category,SafeHousing
Support Services (Clothed N Strength Inc),audience,Adults18
Support Services (Clothed N Strength Inc),category,MentalHealthCare
Support Services (Clothed N Strength Inc),availability,Available
Support Services (Clothed N Strength Inc),category,Clothing
Support Services (Clothed N Strength Inc),category,JobPlacement
Support Services (Clothed N Strength Inc),category,HelpFindWork
Support Services (Clothed N Strength Inc),category,AdvocacyAndLegalAid
Support Services (Clothed N Strength Inc),audience,Female
Support Services (Clothed N Strength Inc),language,English
Support Services (Clothed N Strength Inc),category,ToysAndGifts
Support Services (Clothed N Strength Inc),category,ShortTermHousing
Support Services (Clothed N Strength Inc),audience,Families
Support Services (Clothed N Strength Inc),service type,Mental Health
Support Services (Clothed N Strength Inc),postalCode,"""19124"""
Support Services (Clothed N Strength Inc),url,"""https://www.facebook.com/clothednstrengthwomen"""
Support Services (Clothed N Strength Inc),identifier,"""Support Services (Clothed N Strength Inc)_5051437419986944"""
Support Services (Clothed N Strength Inc),name,"""Support Services (Clothed N Strength Inc)"""
Support Services (Clothed N Strength Inc),name,""""""
Support Services (Clothed N Strength Inc),hasMap,XMLSchema#anyUri
Support Services (Clothed N Strength Inc),areaServed,"""This program covers residents of the following cities: Philadelphia, PA."""
Support Services (Clothed N Strength Inc),provider,Support Services (Clothed N Strength Inc)
Support Services (Clothed N Strength Inc),address,"""4640 Roosevelt Boulevard, Philadelphia, PA 19124"""
Support Services (Clothed N Strength Inc),longitude,XMLSchema#decimal
Support Services (Clothed N Strength Inc),availableChannel,AB-Support Services (Clothed N Strength Inc)
Support Services (Clothed N Strength Inc),availableChannel,P-Support Services (Clothed N Strength Inc)
Support Services (Clothed N Strength Inc),containedInPlace,19124
Support Services (Clothed N Strength Inc),description,Support Services (Clothed N Strength Inc)
Support Services (Clothed N Strength Inc),telephone,"""tel:+1-267-292-7226"""
Support Services (Clothed N Strength Inc),text,"""Clothed N Strength (CNS) is a one-stop resource for women in transition, working with them so that they can achieve a healthy and sustainable life. This program provides:- Find safe and affordable housing.- Prepare for job interviews and obtain employment.- Reunify with their children.- Comply with criminal justice mandates to live safe law-abiding lives.- Access addiction, health, and mental health services.- Gain peer support from other women.- Learn household budgeting and skills for daily life."""
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Sunday Closed"
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Saturday Closed"
Support Services (Clothed N Strength Inc),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
Support Services (Clothed N Strength Inc),conditionsOfAccess,"""This program serves women and their families."""
The Recovery & Education Center (Wedge Recovery Center),latitude,40.007689
The Recovery & Education Center (Wedge Recovery Center),category,OutpatientTreatment
The Recovery & Education Center (Wedge Recovery Center),category,AddictionAndRecovery
The Recovery & Education Center (Wedge Recovery Center),category,MentalHealthCare
The Recovery & Education Center (Wedge Recovery Center),category,SpiritualSupport
The Recovery & Education Center (Wedge Recovery Center),audience,AlcoholDependency
The Recovery & Education Center (Wedge Recovery Center),audience,Adults18
The Recovery & Education Center (Wedge Recovery Center),audience,DualDiagnosis
The Recovery & Education Center (Wedge Recovery Center),category,UnderstandMentalHealth
The Recovery & Education Center (Wedge Recovery Center),audience,AllMentalHealth
The Recovery & Education Center (Wedge Recovery Center),category,MedicationManagement
The Recovery & Education Center (Wedge Recovery Center),cost,ReducedCost
The Recovery & Education Center (Wedge Recovery Center),language,English
The Recovery & Education Center (Wedge Recovery Center),category,CommunitySupportServices
The Recovery & Education Center (Wedge Recovery Center),audience,Lgbtqia
The Recovery & Education Center (Wedge Recovery Center),category,GroupTherapy
The Recovery & Education Center (Wedge Recovery Center),category,SupportGroups
The Recovery & Education Center (Wedge Recovery Center),category,SubstanceAbuseCounseling
The Recovery & Education Center (Wedge Recovery Center),category,IndividualCounseling
The Recovery & Education Center (Wedge Recovery Center),audience,BenefitRecipients
The Recovery & Education Center (Wedge Recovery Center),audience,OpioidDependency
The Recovery & Education Center (Wedge Recovery Center),category,PeerSupport
The Recovery & Education Center (Wedge Recovery Center),audience,SubstanceDependency
The Recovery & Education Center (Wedge Recovery Center),availability,Available
The Recovery & Education Center (Wedge Recovery Center),service type,Mental Health
The Recovery & Education Center (Wedge Recovery Center),postalCode,"""19140"""
The Recovery & Education Center (Wedge Recovery Center),url,"""https://www.facebook.com/wedgerecoverycenters/"""
The Recovery & Education Center (Wedge Recovery Center),url,"""https://www.twitter.com/@WedgeRecovery"""
The Recovery & Education Center (Wedge Recovery Center),identifier,"""The Recovery & Education Center (Wedge Recovery Center)_4689179354857472"""
The Recovery & Education Center (Wedge Recovery Center),name,""""""
The Recovery & Education Center (Wedge Recovery Center),name,"""The Recovery & Education Center (Wedge Recovery Center)"""
The Recovery & Education Center (Wedge Recovery Center),hasMap,XMLSchema#anyUri
The Recovery & Education Center (Wedge Recovery Center),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
The Recovery & Education Center (Wedge Recovery Center),provider,The Recovery & Education Center (Wedge Recovery Center)
The Recovery & Education Center (Wedge Recovery Center),address,"""3604 Germantown Avenue, Philadelphia, PA 19140"""
The Recovery & Education Center (Wedge Recovery Center),longitude,XMLSchema#decimal
The Recovery & Education Center (Wedge Recovery Center),availableChannel,AB-The Recovery & Education Center (Wedge Recovery Center)
The Recovery & Education Center (Wedge Recovery Center),availableChannel,P-The Recovery & Education Center (Wedge Recovery Center)
The Recovery & Education Center (Wedge Recovery Center),containedInPlace,19140
The Recovery & Education Center (Wedge Recovery Center),description,The Recovery & Education Center (Wedge Recovery Center)
