subject,relation,object
Church-Based Shelters (Bethesda Project),latitude,39.9539437
Church-Based Shelters (Bethesda Project),audience,Homeless
Church-Based Shelters (Bethesda Project),category,Meals
Church-Based Shelters (Bethesda Project),category,OneOnOneSupport
Church-Based Shelters (Bethesda Project),category,CaseManagement
Church-Based Shelters (Bethesda Project),language,English
Church-Based Shelters (Bethesda Project),audience,AllAges
Church-Based Shelters (Bethesda Project),category,TemporaryShelter
Church-Based Shelters (Bethesda Project),cost,Free
Church-Based Shelters (Bethesda Project),audience,Emergency
Church-Based Shelters (Bethesda Project),availability,Available
Church-Based Shelters (Bethesda Project),service type,Shelter
Church-Based Shelters (Bethesda Project),postalCode,"""19106"""
Church-Based Shelters (Bethesda Project),url,"""https://www.twitter.com/@Bethesda_Proj"""
Church-Based Shelters (Bethesda Project),url,"""https://www.facebook.com/BethesdaProject"""
Church-Based Shelters (Bethesda Project),identifier,"""Church-Based Shelters (Bethesda Project)_5997720409997312"""
Church-Based Shelters (Bethesda Project),name,"""Church-Based Shelters (Bethesda Project)"""
Church-Based Shelters (Bethesda Project),name,""""""
Church-Based Shelters (Bethesda Project),hasMap,XMLSchema#anyUri
Church-Based Shelters (Bethesda Project),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Church-Based Shelters (Bethesda Project),provider,Church-Based Shelters (Bethesda Project)
Church-Based Shelters (Bethesda Project),address,"""151 North 4th Street, Philadelphia, PA 19106"""
Church-Based Shelters (Bethesda Project),longitude,XMLSchema#decimal
Church-Based Shelters (Bethesda Project),availableChannel,AB-Church-Based Shelters (Bethesda Project)
Church-Based Shelters (Bethesda Project),availableChannel,P-Church-Based Shelters (Bethesda Project)
Church-Based Shelters (Bethesda Project),containedInPlace,19106
Church-Based Shelters (Bethesda Project),description,Church-Based Shelters (Bethesda Project)
Church-Based Shelters (Bethesda Project),text,"""In partnership with local churches, Bethesda Project provides shelter for men and women, year round and in the winter. This program provides:- Overnight shelterAdditional offerings for shelter recipients include:- Meals- Case management"""
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Saturday Closed"
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
Church-Based Shelters (Bethesda Project),xmlschema11-2#time,"""Sunday Closed"
Church-Based Shelters (Bethesda Project),conditionsOfAccess,"""This program serves homeless individuals."""
Youth Emergency Service YES (HopePHL),latitude,39.9668498
Youth Emergency Service YES (HopePHL),audience,Emergency
Youth Emergency Service YES (HopePHL),category,Meals
Youth Emergency Service YES (HopePHL),category,DiseaseScreening
Youth Emergency Service YES (HopePHL),category,SupportNetwork
Youth Emergency Service YES (HopePHL),category,ScreeningAndExams
Youth Emergency Service YES (HopePHL),language,English
Youth Emergency Service YES (HopePHL),category,NavigatingTheSystem
Youth Emergency Service YES (HopePHL),audience,Teens
Youth Emergency Service YES (HopePHL),category,Counseling
Youth Emergency Service YES (HopePHL),audience,InCrisis
Youth Emergency Service YES (HopePHL),cost,Free
Youth Emergency Service YES (HopePHL),audience,Runaways
Youth Emergency Service YES (HopePHL),availability,Available
Youth Emergency Service YES (HopePHL),category,MedicalCare
Youth Emergency Service YES (HopePHL),audience,Homeless
Youth Emergency Service YES (HopePHL),audience,Children
Youth Emergency Service YES (HopePHL),category,MoreEducation
Youth Emergency Service YES (HopePHL),category,TemporaryShelter
Youth Emergency Service YES (HopePHL),category,SexEducation
Youth Emergency Service YES (HopePHL),service type,Shelter
Youth Emergency Service YES (HopePHL),service type,Mental Health
Youth Emergency Service YES (HopePHL),postalCode,"""19130"""
Youth Emergency Service YES (HopePHL),url,"""https://www.facebook.com/ysiyouthserviceinc"""
Youth Emergency Service YES (HopePHL),url,"""https://www.twitter.com/@YSIPHILLY"""
Youth Emergency Service YES (HopePHL),identifier,"""Youth Emergency Service YES (HopePHL)_5680777996009472"""
Youth Emergency Service YES (HopePHL),name,""""""
Youth Emergency Service YES (HopePHL),name,"""Youth Emergency Service YES (HopePHL)"""
Youth Emergency Service YES (HopePHL),hasMap,XMLSchema#anyUri
Youth Emergency Service YES (HopePHL),areaServed,"""This program covers residents of the following counties: Philadelphia County, PA."""
Youth Emergency Service YES (HopePHL),provider,Youth Emergency Service YES (HopePHL)
Youth Emergency Service YES (HopePHL),address,"""1526 Fairmount Avenue, Philadelphia, PA 19130"""
Youth Emergency Service YES (HopePHL),longitude,XMLSchema#decimal
Youth Emergency Service YES (HopePHL),availableChannel,AB-Youth Emergency Service YES (HopePHL)
Youth Emergency Service YES (HopePHL),availableChannel,P-Youth Emergency Service YES (HopePHL)
Youth Emergency Service YES (HopePHL),containedInPlace,19130
Youth Emergency Service YES (HopePHL),description,Youth Emergency Service YES (HopePHL)
Youth Emergency Service YES (HopePHL),telephone,"""tel:+1-215-787-0633"""
Youth Emergency Service YES (HopePHL),text,"""Youth Emergency Service (YES) offers immediate housing, respite, and support services to youth ages 12-17 facing housing insecurity or are unable to safely live with family. YES Services include:- Twenty four hour emergency respite and protection for youth ages 12-17- Telephone hotline and referral services as well as links to national runaway and homeless youth providers through national Runaway Safeline and National safe Place- Medical care – examinations and follow-up- Counseling supports and referrals- Voluntary and confidential HIV testing- Linkage to The Attic for those wanting service for LGBTQ youth- Physical and sexual health information and supports- Referral to home based services for families- Education and recreation programming and supports- Title I tutoringYouth can be self referred, enter through the formal child welfare system, Department of Human Services, or through referrals from partner organizations throughout the county. Referrals come from family, school staff and other concerned persons."""
Youth Emergency Service YES (HopePHL),text,"""Youth Emergency Service (YES) offers immediate housing, respite, and support services to youth ages 12-17 facing housing insecurity or are unable to safely live with family. YES Services include:- Twenty four hour emergency respite and protection for youth ages 12-17- Telephone hotline and referral services as well as links to national runaway and homeless youth providers through national Runaway Safeline and National safe Place- Medical care â€“ examinations and follow-up- Counseling supports and referrals- Voluntary and confidential HIV testing- Linkage to The Attic for those wanting service for LGBTQ youth- Physical and sexual health information and supports- Referral to home based services for families- Education and recreation programming and supports- Title I tutoringYouth can be self referred, enter through the formal child welfare system, Department of Human Services, or through referrals from partner organizations throughout the county. Referrals come from family, school staff and other concerned persons."""
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Thursday from 08:00 to 17:00"""
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Saturday Closed"
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Sunday Closed"
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Monday from 08:00 to 17:00"""
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Tuesday from 08:00 to 17:00"""
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Friday from 08:00 to 17:00"""
Youth Emergency Service YES (HopePHL),xmlschema11-2#time,"""Wednesday from 08:00 to 17:00"""
Youth Emergency Service YES (HopePHL),conditionsOfAccess,"""This program helps people who are 12 to 17 years old."""
Kailo Haven (Resources for Human Development - Pennsylvania),latitude,40.007932
Kailo Haven (Resources for Human Development - Pennsylvania),audience,AllMentalHealth
Kailo Haven (Resources for Human Development - Pennsylvania),audience,Homeless
