the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E6100000483FF1CE67CA52C00D938003A0F94340,3305421,0101000020110F000043F1ED32F5EA5FC10FD2BDDFD4885241,16259844,9,4,2024-10-20 00:04:00+00,5/12/24,11:59:00,11,2.02E+11,1300 BLOCK DRURY ST,600,Thefts,-75.16258596,39.95019573,39.95019573,-75.16258596
0101000020E6100000E5032B1C3BCA52C037DB3FC3D9F94340,3305422,0101000020110F000010CC3946A9EA5FC13DBA7FDA14895241,16259854,9,4,2024-10-20 00:15:00+00,5/14/24,20:05:00,20,2.02E+11,0 BLOCK N 12TH ST,600,Thefts,-75.15985779,39.95195809,39.95195809,-75.15985779
0101000020E61000003B20A6D0FBC252C0CD284CCEBF024440,3305423,0101000020110F000085847BDE59DE5FC1070177FDF1925241,21749129,15,2,2024-10-20 00:18:00+00,10/22/24,5:35:00,5,2.02E+11,6600 BLOCK Tulip St,700,Motor Vehicle Theft,-75.04661957,40.02147845,40.02147845,-75.04661957
0101000020E61000005528DA6EA5C452C00FBE2828E2054440,3305424,0101000020110F0000E97BF4D22CE15FC16CBF8AFB6B965241,16260748,2,1,2024-10-20 00:18:00+00,4/18/24,4:20:00,4,2.02E+11,1400 BLOCK LONGSHORE AV,500,Burglary Residential,-75.07259723,40.04596426,40.04596426,-75.07259723
0101000020E6100000B3A6478D68C352C0B883E87BD3024440,3305425,0101000020110F00002D24CD9112DF5FC16C165CD007935241,21749966,15,2,2024-10-20 00:23:00+00,10/20/24,19:14:00,19,2.02E+11,6300 BLOCK Ditman St,700,Motor Vehicle Theft,-75.05325634,40.02207898,40.02207898,-75.05325634
0101000020E61000001B51D2AAB3CF52C003D537179CF44340,3305426,0101000020110F0000CB9D0043F4F35FC1AAEACEDA46835241,21749970,12,1,2024-10-20 00:23:00+00,10/22/24,23:24:00,23,2.02E+11,2500 BLOCK S 75TH ST,700,Motor Vehicle Theft,-75.24534102,39.91101351,39.91101351,-75.24534102
0101000020E6100000C6560A608ECC52C02A7524F238FA4340,3305427,0101000020110F0000118E5C649CEE5FC11F543E4F7E895241,16261242,18,3,2024-10-20 00:24:00+00,5/2/24,2:46:00,2,2.02E+11,3600 BLOCK CHESTNUT ST,600,Thefts,-75.19618989,39.95486285,39.95486285,-75.19618989
0101000020E6100000BCD6D636E2C952C062AA4F287AFE4340,3305428,0101000020110F0000AADC9C4612EA5FC1402A5365358E5241,16261248,22,1,2024-10-20 00:26:00+00,5/11/24,23:09:00,23,2.02E+11,2300 BLOCK N PARK AV,300,Robbery Firearm,-75.15443202,39.98810295,39.98810295,-75.15443202
0101000020E6100000AC80EFF452C552C0DFA95F6DB5034440,3305429,0101000020110F0000A871559253E25FC1300A306802945241,21749980,15,2,2024-10-20 00:28:00+00,10/22/24,16:42:00,16,2.02E+11,1100 BLOCK SANGER ST,700,Motor Vehicle Theft,-75.08318828,40.02897422,40.02897422,-75.08318828
0101000020E610000000F91A9BC0C552C0DEE8DF05FC034440,3305430,0101000020110F0000CF8257D20DE35FC1DB12AFB550945241,16261252,2,1,2024-10-20 00:29:00+00,5/12/24,5:36:00,5,2.02E+11,900 BLOCK BRIDGE ST,500,Burglary Non-Residential,-75.08988072,40.03112863,40.03112863,-75.08988073
