cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,lat,lng
3146251,0101000020110F000024C896B047F35FC1D25B3BE2EE985241,18425641,5,3,2024-07-01 19:33:00+00,7/1/24,15:33:00,15,2.02E+11,8500 BLOCK HENRY AV,600,Thefts,40.06364653,-75.23914006
3146498,0101000020110F00003B62A5935FDF5FC15F134A362A945241,17933830,15,2,2024-07-02 00:31:00+00,7/1/24,20:31:00,20,2.02E+11,6500 BLOCK FRANKFORD AV,600,Thefts,40.03006942,-75.05602341
3146682,0101000020110F000029CDA5519EED5FC1D648F8DC498E5241,18425648,22,2,2024-07-01 22:07:00+00,7/1/24,18:07:00,18,2.02E+11,N 33RD ST & DIAMOND ST,400,Aggravated Assault No Firearm,39.98866643,-75.18706038
3147138,0101000020110F000021B024BB32EA5FC1C41CD8F493835241,18425413,3,2,2024-07-01 19:28:00+00,7/1/24,15:28:00,15,2.02E+11,300 BLOCK OREGON AV,600,Thefts,39.91313854,-75.15559822
3147979,0101000020110F0000A628534C39DF5FC1E16A57123C965241,17931356,15,3,2024-07-02 00:48:00+00,7/1/24,20:48:00,20,2.02E+11,Cottman And Roosevelt,300,Robbery Firearm,40.04464634,-75.05464796
3150730,0101000020110F00000730B0F90EF45FC166CDF575518B5241,17933456,19,2,2024-07-01 16:43:00+00,7/1/24,12:43:00,12,2.02E+11,300 BLOCK N 63rd St,600,Thefts,39.96772893,-75.24630091
3152071,0101000020110F0000E328EE5338E95FC1E1414806618A5241,17932685,9,2,2024-07-01 23:38:00+00,7/1/24,19:38:00,19,2.02E+11,N 5TH ST  & SPRING GARDEN ST,600,Theft from Vehicle,39.96110724,-75.14660058
3155217,0101000020110F0000F232DBED59EA5FC1F99756B98A885241,17934740,9,4,2024-07-01 12:46:00+00,7/1/24,8:46:00,8,2.02E+11,900 BLOCK WALNUT ST,600,Thefts,39.94815316,-75.15700671
3155240,0101000020110F0000B65B82B430DF5FC1B8B9175201995241,17934939,7,1,2024-07-01 22:37:00+00,7/1/24,18:37:00,18,2.02E+11,8100 BLOCK Castor Ave,600,Thefts,40.06415355,-75.05433919
3155673,0101000020110F000016584693A4D75FC19607073018995241,18428511,8,2,2024-07-01 18:59:00+00,7/1/24,14:59:00,14,2.02E+11,9900 BLOCK FRANKFORD AV,600,Thefts,40.06478239,-74.98491272
3158797,0101000020110F00006AAD430496F25FC166532932268B5241,18072986,19,2,2024-07-01 22:20:00+00,7/1/24,18:20:00,18,2.02E+11,5600 BLOCK VINE ST,600,Thefts,39.96653745,-75.2327558
3159075,0101000020110F0000C81B7714A9E75FC19374304F70925241,18429403,25,2,2024-07-01 17:35:00+00,7/1/24,13:35:00,13,2.02E+11,4400 BLOCK N ORIANNA ST,500,Burglary Residential,40.01790989,-75.13225456
3159091,0101000020110F00001D1141EBEAF35FC16E5F9E14C2895241,18429408,18,1,2024-07-01 13:46:00+00,7/1/24,9:46:00,9,2.02E+11,6100 BLOCK SPRUCE ST,600,Thefts,39.95672952,-75.24500531
3159507,0101000020110F0000C678A3B74CEE5FC1A1B3828B98975241,17936220,14,3,2024-07-01 16:08:00+00,7/1/24,12:08:00,12,2.02E+11,7000 BLOCK LINCOLN DR,600,Thefts,40.05423146,-75.19332697
3159732,0101000020110F0000BD61E00C0DEC5FC1496B86B05A895241,18217909,9,3,2024-07-01 18:21:00+00,7/1/24,14:21:00,14,2.02E+11,1900 BLOCK MARKET ST,600,Thefts,39.95388172,-75.17264175
3159825,0101000020110F000085C9270A9CED5FC1D433F0FD7B8C5241,18218042,22,4,2024-07-01 15:47:00+00,7/1/24,11:47:00,11,2.02E+11,3100 BLOCK W GIRARD AV,600,Thefts,39.97594968,-75.18697848
3159998,0101000020110F000028711249D6E85FC1C763A5265B855241,18429575,3,2,2024-07-01 14:07:00+00,7/1/24,10:07:00,10,2.02E+11,1600 BLOCK S CHRISTOPHER COLUMBUS BLVD,600,Thefts,39.92568299,-75.14307766
3160265,0101000020110F0000D9CCA4DEACEB5FC1EA558093088E5241,17935770,22,1,2024-07-01 21:03:00+00,7/1/24,17:03:00,17,2.02E+11,2100 BLOCK N 22ND ST,600,Thefts,39.98686902,-75.16918573
3160535,0101000020110F00002ADCBE6692ED5FC145D5CC462C8F5241,17936843,22,2,2024-07-01 20:59:00+00,7/1/24,16:59:00,16,2.02E+11,N 34TH ST  & W CUMBERLAND ST,300,Robbery No Firearm,39.99489943,-75.18663215
3160797,0101000020110F0000117C9F5A8FE05FC117D42E37A2915241,17936172,15,2,2024-07-01 12:36:00+00,7/1/24,8:36:00,8,2.02E+11,5500 BLOCK TULIP ST,600,Thefts,40.01223821,-75.06693892
3162761,0101000020110F0000E1A16E6888E05FC10A97232FAC995241,18430872,7,1,2024-07-01 16:41:00+00,7/1/24,12:41:00,12,2.02E+11,1300 BLOCK RHAWN ST,600,Thefts,40.06885215,-75.06668933
3163253,0101000020110F0000EF431AAD10F15FC16DE41F2C59935241,17938720,5,1,2024-07-01 20:56:00+00,7/1/24,16:56:00,16,2.02E+11,4100 BLOCK APPLE ST,600,Thefts,40.02431769,-75.21876578
3163344,0101000020110F000050FFB4E3C1E85FC174EC5DB7388F5241,17939162,25,4,2024-07-01 07:46:00+00,7/1/24,3:46:00,3,2.02E+11,2800 BLOCK N MARSHALL ST,400,Aggravated Assault Firearm,39.99524187,-75.14234478
3163347,0101000020110F0000EA1BC36CB6EC5FC16C0D3010548F5241,17939164,22,2,2024-07-01 15:36:00+00,7/1/24,11:36:00,11,2.02E+11,2600 BLOCK N 29TH ST,500,Burglary Residential,39.99599467,-75.17872782
3163457,0101000020110F0000E352277629EC5FC1C43919D9E9945241,18220216,14,2,2024-07-01 12:14:00+00,7/1/24,8:14:00,8,2.02E+11,5600 BLOCK GERMANTOWN AV,500,Burglary Non-Residential,40.03534186,-75.17366264
3163460,0101000020110F0000F9202F6352EF5FC17E4ACE34CA895241,17937811,18,3,2024-07-01 15:09:00+00,7/1/24,11:09:00,11,2.02E+11,4000 BLOCK MARKET ST,400,Aggravated Assault Firearm,39.95695333,-75.20272946
3163742,0101000020110F0000BC7E23323DE95FC1365E061D4D885241,17939362,9,5,2024-07-01 22:18:00+00,7/1/24,18:18:00,18,2.02E+11,200 BLOCK S 3RD ST,600,Thefts,39.94645596,-75.1467755
3164748,0101000020110F000011171A9AA1DE5FC1C2AF30AEC8975241,18218677,2,3,2024-07-01 04:58:00+00,7/1/24,0:58:00,0,2.02E+11,7900 BLOCK E ROOSEVELT BLVD,600,Thefts,40.05555537,-75.04919712
3164809,0101000020110F0000927A5264E1DD5FC12DBC624BC39A5241,17965711,7,2,2024-07-01 18:10:00+00,7/1/24,14:10:00,14,2.02E+11,1800 BLOCK WINCHESTER AV,600,Thefts,40.07652675,-75.04229051
3165325,0101000020110F000019885C699EEC5FC15B4FEA229E945241,17966583,14,3,2024-07-01 23:36:00+00,7/1/24,19:36:00,19,2.02E+11,100 BLOCK W CHELTEN AV,600,Thefts,40.03325887,-75.17786496
3165406,0101000020110F00001F834453E8E05FC1525C9F3CE3955241,17938006,2,1,2024-07-01 22:25:00+00,7/1/24,18:25:00,18,2.02E+11,6700 BLOCK SOUDER ST,600,Thefts,40.04220263,-75.07013589
3165687,0101000020110F00007FE5948226E35FC1F8C83330C4975241,18318810,2,2,2024-07-01 13:58:00+00,7/1/24,9:58:00,9,2.02E+11,6800 BLOCK RISING SUN AV,600,Thefts,40.05543182,-75.09076785
3165746,0101000020110F000086FBD86771EC5FC18647EA70378B5241,18430550,9,1,2024-07-01 19:28:00+00,7/1/24,15:28:00,15,2.02E+11,2300 BLOCK FAIRMOUNT AV,600,Thefts,39.96701237,-75.17624778
3165779,0101000020110F0000F232DBED59EA5FC1F99756B98A885241,18075573,9,4,2024-07-02 00:16:00+00,7/1/24,20:16:00,20,2.02E+11,900 BLOCK WALNUT ST,600,Thefts,39.94815316,-75.15700671
3166207,0101000020110F00002CF0F4DAEFF05FC19A3DB95A67875241,18431057,12,3,2024-07-01 08:53:00+00,7/1/24,4:53:00,4,2.02E+11,1300 BLOCK S PAXON ST,300,Robbery No Firearm,39.94012637,-75.21758644
3166242,0101000020110F000086FBD86771EC5FC18647EA70378B5241,18218513,9,1,2024-07-01 15:32:00+00,7/1/24,11:32:00,11,2.02E+11,2300 BLOCK FAIRMOUNT AV,600,Thefts,39.96701237,-75.17624778
3166435,0101000020110F000062BE3DD63FEF5FC1C6CB32CF68925241,17966282,39,1,2024-07-01 17:41:00+00,7/1/24,13:41:00,13,2.02E+11,LINCOLN DR  & GYPSY LA,600,Theft from Vehicle,40.0177035,-75.20206289
3166453,0101000020110F000024C896B047F35FC1D25B3BE2EE985241,17966452,5,3,2024-07-01 20:13:00+00,7/1/24,16:13:00,16,2.02E+11,8500 BLOCK HENRY AV,600,Thefts,40.06364653,-75.23914006
3166701,0101000020110F00002629BE9747EE5FC1C4705F8487885241,17938679,18,3,2024-07-01 22:06:00+00,7/1/24,18:06:00,18,2.02E+11,3400 BLOCK CIVIC CENTER BLVD,600,Thefts,39.94806482,-75.19314283
3166933,0101000020110F0000D1ADF062E4ED5FC1D28944A394865241,17966855,17,2,2024-07-02 02:26:00+00,7/1/24,22:26:00,22,2.02E+11,2700 BLOCK DICKINSON ST,400,Aggravated Assault Firearm,39.93432086,-75.18957809
3167653,0101000020110F00003F0379FFE2F15FC1995FD28AE88A5241,18431871,19,2,2024-07-01 19:38:00+00,7/1/24,15:38:00,15,2.02E+11,5300 BLOCK N Vine St,600,Theft from Vehicle,39.96483952,-75.22632319
3167664,0101000020110F0000CE86039811EC5FC19BB09DE382865241,18318865,17,3,2024-07-01 18:49:00+00,7/1/24,14:49:00,14,2.02E+11,1300 BLOCK S 17TH ST,200,Rape,39.93383184,-75.17280501
3170042,0101000020110F0000A4742F79C6E95FC1BAF8DCC348965241,17939858,35,3,2024-07-01 14:15:00+00,7/1/24,10:15:00,10,2.02E+11,1800 BLOCK W CHAMPLOST AV,600,Thefts,40.04499551,-75.15170824
3170350,0101000020110F00007FD65A746DE25FC15580F7C099925241,17968942,15,1,2024-07-01 06:04:00+00,7/1/24,2:04:00,2,2.02E+11,Oxford & Penn St,300,Robbery Firearm,40.01905038,-75.08411832
3171239,0101000020110F00000B25CFAE61EB5FC1D329ADDCE08D5241,17941086,22,1,2024-07-01 21:28:00+00,7/1/24,17:28:00,17,2.02E+11,2000 BLOCK DIAMOND ST,400,Aggravated Assault No Firearm,39.98577563,-75.16648407
3171766,0101000020110F00003325B5AC7CE85FC1C44552069B935241,18433018,35,2,2024-07-01 19:41:00+00,7/1/24,15:41:00,15,2.02E+11,4800 BLOCK N HUTCHINSON ST,400,Aggravated Assault No Firearm,40.02612967,-75.13985771
3171912,0101000020110F00006411790680ED5FC188BFF29F5C845241,18077713,1,2,2024-07-01 17:44:00+00,7/1/24,13:44:00,13,2.02E+11,2200 BLOCK OREGON AV,400,Aggravated Assault No Firearm,39.91866893,-75.18597185
3171922,0101000020110F0000E44870549DDF5FC1E4A810EE8B935241,18432105,15,2,2024-07-01 12:55:00+00,7/1/24,8:55:00,8,2.02E+11,ERDRICK ST  & ROBBINS ST,600,Theft from Vehicle,40.02571433,-75.05824236
3172595,0101000020110F0000C7BA8B8D97DF5FC15D9CA258E3935241,18321649,15,2,2024-07-01 17:54:00+00,7/1/24,13:54:00,13,2.02E+11,6300 BLOCK FRANKFORD AV,600,Thefts,40.0281196,-75.05803478
3172675,0101000020110F00009B40E5E145F05FC1833FB13835895241,18432867,18,3,2024-07-01 12:36:00+00,7/1/24,8:36:00,8,2.02E+11,4400 BLOCK SPRUCE ST,600,Thefts,39.95284967,-75.21147887
3172890,0101000020110F0000D03AA95181DD5FC146ED064DD5945241,17939950,15,3,2024-07-01 16:03:00+00,7/1/24,12:03:00,12,2.02E+11,4200 BLOCK COTTMAN AV,600,Thefts,40.03477657,-75.03883836
3173261,0101000020110F0000A2527BB7CAEC5FC1EFC0C2AB1A8E5241,18432751,22,2,2024-07-01 04:43:00+00,7/1/24,0:43:00,0,2.02E+11,2800 BLOCK DIAMOND ST,600,Thefts,39.98736719,-75.17945696
3173610,0101000020110F0000195F969EF5E45FC1A31E5A87F2945241,17970124,2,2,2024-07-01 17:09:00+00,7/1/24,13:09:00,13,2.02E+11,600 BLOCK FOULKROD ST,600,Thefts,40.03558068,-75.10740858
3174031,0101000020110F000007AFF5C690E65FC1B87B1461E38E5241,17943579,24,2,2024-07-01 13:19:00+00,7/1/24,9:19:00,9,2.02E+11,500 BLOCK Hart Ln,1800,Narcotic / Drug Law Violations,39.99289268,-75.12218255
3174197,0101000020110F0000AA05FBC4F9F15FC1F8D8599DBA875241,18078423,12,4,2024-07-01 18:33:00+00,7/1/24,14:33:00,14,2.02E+11,5400 BLOCK Florence Ave,600,Thefts,39.94242016,-75.22714143
3177050,0101000020110F0000AC2777B855E75FC1841A37F1808F5241,18321910,24,2,2024-07-01 21:36:00+00,7/1/24,17:36:00,17,2.02E+11,3100 BLOCK N FRONT ST,400,Aggravated Assault No Firearm,39.99723007,-75.12925924
3177164,0101000020110F0000AF7A3DB26EE85FC144E566652A8B5241,17943128,26,2,2024-07-01 19:26:00+00,7/1/24,15:26:00,15,2.02E+11,1000 BLOCK N HANCOCK ST,1400,Vandalism/Criminal Mischief,39.96665312,-75.13935543
3177525,0101000020110F0000282EF35DCEE15FC124DE3558F0955241,18079319,2,1,2024-07-01 21:12:00+00,7/1/24,17:12:00,17,2.02E+11,1300 BLOCK GREEBY ST,400,Aggravated Assault No Firearm,40.04256321,-75.07840189
3177970,0101000020110F0000A9B2F22F2FED5FC118003B7F58885241,17942251,17,1,2024-07-01 16:00:00+00,7/1/24,12:00:00,11,2.02E+11,500 BLOCK S 26TH ST,600,Theft from Vehicle,39.94676955,-75.18306713
3178004,0101000020110F0000B56C1C10D3E65FC1ADFABA9E39955241,18222651,35,1,2024-07-01 17:28:00+00,7/1/24,13:28:00,13,2.02E+11,100 BLOCK W CHEW AV,600,Theft from Vehicle,40.03753649,-75.12456437
3178125,0101000020110F0000C0F4570DD2EC5FC14C2835409D865241,17970484,17,3,2024-07-01 05:32:00+00,7/1/24,1:32:00,1,2.02E+11,1300 BLOCK Pt Breeze Ave,400,Aggravated Assault No Firearm,39.93455817,-75.17972054
3178220,0101000020110F0000F49C40BCCDF15FC1747077B521955241,18222024,5,2,2024-07-01 20:35:00+00,7/1/24,16:35:00,16,2.02E+11,300 BLOCK FOUNTAIN ST,600,Theft from Vehicle,40.03687867,-75.22555917
3178240,0101000020110F0000D190A334DCD95FC13396075F5B975241,17969166,8,1,2024-07-01 19:19:00+00,7/1/24,15:19:00,15,2.02E+11,9100 BLOCK FRANKFORD AV,600,Thefts,40.05254891,-75.00530916
3180320,0101000020110F00002B369F09F0F05FC1C76CFEC894875241,18080834,12,3,2024-07-01 19:49:00+00,7/1/24,15:49:00,15,2.02E+11,5000 BLOCK KINGSESSING AV,600,Theft from Vehicle,39.94137798,-75.21759299
3180408,0101000020110F0000E830513FAFEE5FC1E51CA79F80865241,18325282,17,2,2024-07-01 12:28:00+00,7/1/24,8:28:00,8,2.02E+11,1600 BLOCK S NAPA ST,300,Robbery No Firearm,39.93376942,-75.19686741
