src,edge_attr,dst
0,latitude,1
0,category,2
0,language,3
0,audience,4
0,cost,5
0,audience,6
0,audience,7
0,availability,8
0,audience,9
0,category,2
0,service type,10
0,postalCode,11
0,url,12
0,url,13
0,identifier,14
0,name,15
0,name,16
0,hasMap,17
0,areaServed,18
0,provider,0
0,address,19
0,longitude,20
0,availableChannel,21
0,availableChannel,22
0,containedInPlace,23
0,description,0
0,telephone,24
0,text,25
0,xmlschema11-2#time,26
0,xmlschema11-2#time,27
0,xmlschema11-2#time,28
0,xmlschema11-2#time,29
0,xmlschema11-2#time,30
0,xmlschema11-2#time,31
0,xmlschema11-2#time,32
0,conditionsOfAccess,33
34,latitude,35
34,latitude,36
34,category,37
34,category,38
34,category,39
34,language,3
34,availability,8
34,category,40
34,category,41
34,category,42
34,category,43
34,category,44
34,category,45
34,category,38
34,category,46
34,category,2
34,category,45
34,category,44
34,category,47
34,category,39
34,category,40
34,category,47
34,audience,48
34,category,46
34,cost,5
34,category,49
34,audience,9
34,category,37
34,audience,50
34,category,49
34,category,51
34,category,2
34,audience,52
34,audience,6
34,category,41
34,audience,4
34,category,43
34,category,42
34,category,51
34,service type,10
34,service type,53
34,postalCode,54
34,postalCode,55
34,url,56
34,url,57
34,identifier,58
34,name,59
34,name,15
34,name,60
34,hasMap,17
34,hasMap,17
34,areaServed,61
34,provider,34
34,address,62
34,address,63
34,longitude,20
34,longitude,20
34,availableChannel,64
34,availableChannel,65
34,containedInPlace,66
34,containedInPlace,67
34,description,34
34,telephone,68
34,telephone,69
34,text,70
34,xmlschema11-2#time,71
34,xmlschema11-2#time,72
34,xmlschema11-2#time,73
34,xmlschema11-2#time,29
34,xmlschema11-2#time,30
34,xmlschema11-2#time,74
34,xmlschema11-2#time,75
34,xmlschema11-2#time,76
34,xmlschema11-2#time,77
34,xmlschema11-2#time,78
34,xmlschema11-2#time,79
34,xmlschema11-2#time,80
34,xmlschema11-2#time,81
34,xmlschema11-2#time,82
34,conditionsOfAccess,83
84,latitude,85
84,cost,5
84,audience,6
84,audience,4
84,audience,50
84,language,3
84,category,2
84,availability,8
84,audience,9
84,audience,7
84,category,2
84,service type,10
84,postalCode,86
84,url,87
84,url,88
84,identifier,89
84,name,15
84,name,90
84,hasMap,17
84,areaServed,91
84,provider,84
84,address,92
84,longitude,20
84,availableChannel,93
84,availableChannel,94
84,containedInPlace,95
84,description,84
84,telephone,96
84,text,97
84,xmlschema11-2#time,98
84,xmlschema11-2#time,99
84,xmlschema11-2#time,28
84,xmlschema11-2#time,100
84,xmlschema11-2#time,30
84,xmlschema11-2#time,101
84,xmlschema11-2#time,29
84,conditionsOfAccess,102
103,latitude,104
103,language,3
103,cost,5
103,availability,105
103,audience,9
103,category,2
103,audience,6
103,audience,7
103,category,2
103,audience,4
103,service type,10
103,postalCode,106
103,url,107
103,url,108
103,identifier,109
103,name,15
103,name,110
103,hasMap,17
103,areaServed,91
103,provider,103
103,address,111
103,longitude,20
103,availableChannel,112
103,availableChannel,113
103,containedInPlace,114
103,description,103
103,telephone,115
103,text,116
103,xmlschema11-2#time,30
103,xmlschema11-2#time,99
103,xmlschema11-2#time,28
103,xmlschema11-2#time,29
103,xmlschema11-2#time,117
103,xmlschema11-2#time,118
103,xmlschema11-2#time,119
103,xmlschema11-2#time,120
103,xmlschema11-2#time,121
103,xmlschema11-2#time,122
103,xmlschema11-2#time,123
103,xmlschema11-2#time,124
103,xmlschema11-2#time,125
103,conditionsOfAccess,33
126,latitude,127
126,cost,5
126,availability,8
126,audience,7
126,audience,6
126,category,2
126,language,3
