src,edge_attr,dst
0,latitude,1
0,category,2
0,audience,3
0,language,4
0,category,5
0,availability,6
0,cost,7
0,audience,8
0,audience,9
0,audience,10
0,audience,11
0,category,12
0,category,13
0,category,14
0,category,15
0,category,16
0,service type,17
0,postalCode,18
0,url,19
0,url,20
0,identifier,21
0,name,22
0,name,23
0,hasMap,24
0,areaServed,25
0,provider,0
0,address,26
0,longitude,27
0,availableChannel,28
0,availableChannel,29
0,containedInPlace,30
0,description,0
0,telephone,31
0,text,32
0,xmlschema11-2#time,33
0,xmlschema11-2#time,34
0,xmlschema11-2#time,35
0,xmlschema11-2#time,36
0,xmlschema11-2#time,37
0,xmlschema11-2#time,38
0,xmlschema11-2#time,39
0,conditionsOfAccess,23
40,latitude,41
40,category,42
40,cost,43
40,category,44
40,category,45
40,audience,46
40,audience,47
40,category,48
40,category,49
40,audience,50
40,category,12
40,availability,6
40,category,51
40,category,52
40,category,53
40,category,54
40,audience,55
40,language,4
40,category,56
40,category,57
40,audience,58
40,service type,17
40,postalCode,59
40,url,60
40,identifier,61
40,name,62
40,name,23
40,hasMap,24
40,areaServed,63
40,provider,40
40,address,64
40,longitude,27
40,availableChannel,65
40,availableChannel,66
40,containedInPlace,67
40,description,40
40,telephone,68
40,text,69
40,xmlschema11-2#time,70
40,xmlschema11-2#time,71
40,xmlschema11-2#time,72
40,xmlschema11-2#time,73
40,xmlschema11-2#time,74
40,xmlschema11-2#time,75
40,xmlschema11-2#time,76
40,conditionsOfAccess,77
78,latitude,79
78,category,80
78,category,42
78,category,12
78,category,81
78,audience,82
78,audience,50
78,audience,83
78,category,15
78,audience,84
78,category,85
78,cost,7
78,language,4
78,category,86
78,audience,87
78,category,88
78,category,89
78,category,90
78,category,91
78,audience,9
78,audience,92
78,category,93
78,audience,94
78,availability,6
78,service type,17
78,postalCode,95
78,url,96
78,url,97
78,identifier,98
78,name,23
78,name,99
78,hasMap,24
78,areaServed,25
78,provider,78
78,address,100
78,longitude,27
78,availableChannel,101
78,availableChannel,102
78,containedInPlace,103
78,description,78
78,telephone,104
78,text,105
78,xmlschema11-2#time,75
78,xmlschema11-2#time,73
78,xmlschema11-2#time,76
78,xmlschema11-2#time,74
78,xmlschema11-2#time,72
78,xmlschema11-2#time,71
78,xmlschema11-2#time,70
78,conditionsOfAccess,23
106,latitude,107
106,availability,6
106,audience,84
106,language,4
106,category,108
106,cost,7
106,category,12
106,audience,11
106,category,14
106,category,109
106,category,110
106,category,88
106,category,5
106,category,91
106,audience,94
106,category,42
106,audience,9
106,audience,83
106,service type,17
106,postalCode,59
106,url,111
106,identifier,112
106,name,23
106,name,113
106,hasMap,24
106,areaServed,25
106,provider,106
106,address,114
106,longitude,27
106,availableChannel,115
106,availableChannel,116
106,containedInPlace,67
106,description,106
106,telephone,117
106,text,118
106,xmlschema11-2#time,39
106,xmlschema11-2#time,34
106,xmlschema11-2#time,36
106,xmlschema11-2#time,38
106,xmlschema11-2#time,35
106,xmlschema11-2#time,33
106,xmlschema11-2#time,37
106,conditionsOfAccess,119
120,latitude,121
120,audience,122
120,audience,94
120,category,91
120,audience,84
120,category,90
120,audience,87
120,category,88
120,category,80
120,audience,83
120,category,12
120,audience,123
120,category,124
120,audience,125
120,category,126
120,language,4
120,audience,127
120,audience,128
120,audience,55
120,category,126
120,availability,6
120,category,129
120,audience,50
120,cost,43
120,audience,46
120,service type,17
120,postalCode,130
120,url,131
120,identifier,132
120,name,133
120,name,23
120,hasMap,24
120,areaServed,25
120,provider,120
120,address,134
120,longitude,27
120,availableChannel,135
