node_id,node_attr
0,Autism Integrated Care Program (Children's Hospital of Philadelphia)
1,39.9487265
2,DisabilityScreening
3,YoungAdults
4,English
5,MentalHealthEvaluation
6,Available
7,ReducedCost
8,Children
9,BenefitRecipients
10,Autism
11,Teens
12,MentalHealthCare
13,CheckupAndTest
14,FamilyCounseling
15,UnderstandMentalHealth
16,SpecializedTherapy
17,Mental Health
18,"""19104"""
19,"""https://www.facebook.com/ChildrensHospitalofPhiladelphia"""
20,"""https://www.twitter.com/@ChildrensPhila"""
21,"""Autism Integrated Care Program (Children's Hospital of Philadelphia)_4813909593948160"""
22,"""Autism Integrated Care Program (Children's Hospital of Philadelphia)"""
23,""""""
24,XMLSchema#anyUri
25,"""This program covers residents of the following counties: Philadelphia County, PA."""
26,"""3401 Civic Center Blvd., Philadelphia, PA 19104"""
27,XMLSchema#decimal
28,AB-Autism Integrated Care Program (Children's Hospital of Philadelphia)
29,P-Autism Integrated Care Program (Children's Hospital of Philadelphia)
30,19104
31,"""tel:+1-215-590-7500"""
32,"""The Autism Integrated Care Program evaluates new patients for autism spectrum disorder (ASD). We also provide follow-up care to children with ASD in our Primary and Specialty Care locations.Services Available:- Mental health evaluation- Followup care- Autism Workshops"""
33,"""Saturday from 00:00 to 23:59"""
34,"""Friday from 00:00 to 23:59"""
35,"""Wednesday from 00:00 to 23:59"""
36,"""Tuesday from 00:00 to 23:59"""
37,"""Monday from 00:00 to 23:59"""
38,"""Sunday from 00:00 to 23:59"""
39,"""Thursday from 00:00 to 23:59"""
40,Support Services (Clothed N Strength Inc)
41,40.0322663
42,AddictionAndRecovery
43,Free
44,PersonalCareItems
45,HelpFindHealthcare
46,SingleParent
47,Individuals
48,HelpFindHousing
49,SafeHousing
50,Adults18
51,Clothing
52,JobPlacement
53,HelpFindWork
54,AdvocacyAndLegalAid
55,Female
56,ToysAndGifts
57,ShortTermHousing
58,Families
59,"""19124"""
60,"""https://www.facebook.com/clothednstrengthwomen"""
61,"""Support Services (Clothed N Strength Inc)_5051437419986944"""
62,"""Support Services (Clothed N Strength Inc)"""
63,"""This program covers residents of the following cities: Philadelphia, PA."""
64,"""4640 Roosevelt Boulevard, Philadelphia, PA 19124"""
65,AB-Support Services (Clothed N Strength Inc)
66,P-Support Services (Clothed N Strength Inc)
67,19124
68,"""tel:+1-267-292-7226"""
69,"""Clothed N Strength (CNS) is a one-stop resource for women in transition, working with them so that they can achieve a healthy and sustainable life. This program provides:- Find safe and affordable housing.- Prepare for job interviews and obtain employment.- Reunify with their children.- Comply with criminal justice mandates to live safe law-abiding lives.- Access addiction, health, and mental health services.- Gain peer support from other women.- Learn household budgeting and skills for daily life."""
70,"""Wednesday from 08:00 to 17:00"""
71,"""Monday from 08:00 to 17:00"""
72,"""Sunday Closed"
73,"""Thursday from 08:00 to 17:00"""
74,"""Tuesday from 08:00 to 17:00"""
75,"""Saturday Closed"
76,"""Friday from 08:00 to 17:00"""
77,"""This program serves women and their families."""
78,The Recovery & Education Center (Wedge Recovery Center)
79,40.007689
80,OutpatientTreatment
81,SpiritualSupport
82,AlcoholDependency
83,DualDiagnosis
84,AllMentalHealth
85,MedicationManagement
86,CommunitySupportServices
87,Lgbtqia
88,GroupTherapy
89,SupportGroups
90,SubstanceAbuseCounseling
91,IndividualCounseling
92,OpioidDependency
93,PeerSupport
94,SubstanceDependency
95,"""19140"""
96,"""https://www.facebook.com/wedgerecoverycenters/"""
97,"""https://www.twitter.com/@WedgeRecovery"""
98,"""The Recovery & Education Center (Wedge Recovery Center)_4689179354857472"""
99,"""The Recovery & Education Center (Wedge Recovery Center)"""
100,"""3604 Germantown Avenue, Philadelphia, PA 19140"""
101,AB-The Recovery & Education Center (Wedge Recovery Center)
102,P-The Recovery & Education Center (Wedge Recovery Center)
103,19140
104,"""tel:+1-215-276-3922"""
105,"""Wedge Recovery Center's Recovery & Education Center (REC) is a day program that combines Outpatient Mental Health Services and Psychiatric Rehabilitation to provide specialized services for individuals who carry a diagnosis of a major mood disorder, a psychotic disorder and/or Borderline Personality Disorder to ensure people in recovery have a safe space to redefine themselves. We offer: - Educational groups- Peer Support- Health, Wellness, and Faith-Based services- Community-based Support and Learning- Individual Therapy and Crisis Support- Group Therapy- Psychiatry (Medication Management)- Co-occurring (Mental Health and Drug & Alcohol) Support- Optional Older Adult ProgramOur ultimate goal is to help a person understand that they are a valued and needed part of society. No person’s recovery journey is the same, therefore there is no standard timeframe on REC services. Scheduling is choice-driven, members choose from the “menu” of services for the days, times, and activities that best fit their personal needs. The Older Adult Program is open on Saturdays, as well.Once a person completes the REC program they are welcome to transition to our Mental Health Outpatient program. If a person wishes to attend REC, they are able to do so right away, there is no waiting time for starting REC services.We accept Medicaid insurance for all of our REC services."""
106,Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
107,40.0266061
108,AlternativeEducation
109,HospitalTreatment
110,ResidentialCare
111,"""None"""
112,"""Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)_4822984222310400"""
113,"""Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)"""
114,"""4641 Roosevelt Boulevard, Philadelphia, PA 19124"""
115,AB-Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
116,P-Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)
117,"""tel:+1-215-831-4600"""
118,"""Friends Hospital provides psychiatric treatment and support to adolescents so they can begin to identify challenges, better handle frustrations and develop constructive, healthy behaviors. Program services takes place in a dedicated adolescent unit with separate wings for males and female patients.This program provides:- Treatment for all major psychiatric disorders and co-occurring substance issues- Holistic and patient-centered treatment approach- Individualized treatment, wellness and discharge plans- Individual, group and family therapy- Academic support (includes educational assessment and daily educational instruction from a certified teacher)Almost all major health insurances, including Medicaid and Medicare are accepted. It is the policy of Friends Hospital not to create a financial hardship for any patient. If necessary, a payment plan appropriate to the patient’s financial status can be established.To make the admission process go as smoothly as possible, please download and complete our authorization completion instructions and authorization to obtain or release protected health information form. To schedule a confidential assessment or learn more about the admission process, please call the admission department."""
119,"""This program helps people who are 13 to 17 years old.', 'Must have Medicare and Medicaid."""
120,Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
121,40.0159527
122,Pregnant
123,TraumaSurvivors
124,NavigatingTheSystem
125,DomesticViolenceSurvivors
126,Childcare
127,Parents
128,AbuseOrNeglectSurvivors
129,MedicationsForMentalHealth
130,"""19144"""
131,"""https://www.facebook.com/DrexelCollegeofMedicine"""
132,"""Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)_5352792247631872"""
133,"""Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)"""
134,"""4700 Wissahickon Avenue, Philadelphia, PA 19144"""
135,AB-Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
136,P-Caring Together Program (Department of Psychiatry at Drexel University College of Medicine)
137,19144
138,"""tel:+1-215-967-2130"""
