node_id,node_attr
0,Church-Based Shelters (Bethesda Project)
1,39.9539437
2,Homeless
3,Meals
4,OneOnOneSupport
5,CaseManagement
6,English
7,AllAges
8,TemporaryShelter
9,Free
10,Emergency
11,Available
12,Shelter
13,"""19106"""
14,"""https://www.twitter.com/@Bethesda_Proj"""
15,"""https://www.facebook.com/BethesdaProject"""
16,"""Church-Based Shelters (Bethesda Project)_5997720409997312"""
17,"""Church-Based Shelters (Bethesda Project)"""
18,""""""
19,XMLSchema#anyUri
20,"""This program covers residents of the following counties: Philadelphia County, PA."""
21,"""151 North 4th Street, Philadelphia, PA 19106"""
22,XMLSchema#decimal
23,AB-Church-Based Shelters (Bethesda Project)
24,P-Church-Based Shelters (Bethesda Project)
25,19106
26,"""In partnership with local churches, Bethesda Project provides shelter for men and women, year round and in the winter. This program provides:- Overnight shelterAdditional offerings for shelter recipients include:- Meals- Case management"""
27,"""Monday from 08:00 to 17:00"""
28,"""Friday from 08:00 to 17:00"""
29,"""Tuesday from 08:00 to 17:00"""
30,"""Saturday Closed"
31,"""Wednesday from 08:00 to 17:00"""
32,"""Thursday from 08:00 to 17:00"""
33,"""Sunday Closed"
34,"""This program serves homeless individuals."""
35,Youth Emergency Service YES (HopePHL)
36,39.9668498
37,DiseaseScreening
38,SupportNetwork
39,ScreeningAndExams
40,NavigatingTheSystem
41,Teens
42,Counseling
43,InCrisis
44,Runaways
45,MedicalCare
46,Children
47,MoreEducation
48,SexEducation
49,Mental Health
50,"""19130"""
51,"""https://www.facebook.com/ysiyouthserviceinc"""
52,"""https://www.twitter.com/@YSIPHILLY"""
53,"""Youth Emergency Service YES (HopePHL)_5680777996009472"""
54,"""Youth Emergency Service YES (HopePHL)"""
55,"""1526 Fairmount Avenue, Philadelphia, PA 19130"""
56,AB-Youth Emergency Service YES (HopePHL)
57,P-Youth Emergency Service YES (HopePHL)
58,19130
59,"""tel:+1-215-787-0633"""
60,"""Youth Emergency Service (YES) offers immediate housing, respite, and support services to youth ages 12-17 facing housing insecurity or are unable to safely live with family. YES Services include:- Twenty four hour emergency respite and protection for youth ages 12-17- Telephone hotline and referral services as well as links to national runaway and homeless youth providers through national Runaway Safeline and National safe Place- Medical care – examinations and follow-up- Counseling supports and referrals- Voluntary and confidential HIV testing- Linkage to The Attic for those wanting service for LGBTQ youth- Physical and sexual health information and supports- Referral to home based services for families- Education and recreation programming and supports- Title I tutoringYouth can be self referred, enter through the formal child welfare system, Department of Human Services, or through referrals from partner organizations throughout the county. Referrals come from family, school staff and other concerned persons."""
61,"""Youth Emergency Service (YES) offers immediate housing, respite, and support services to youth ages 12-17 facing housing insecurity or are unable to safely live with family. YES Services include:- Twenty four hour emergency respite and protection for youth ages 12-17- Telephone hotline and referral services as well as links to national runaway and homeless youth providers through national Runaway Safeline and National safe Place- Medical care â€“ examinations and follow-up- Counseling supports and referrals- Voluntary and confidential HIV testing- Linkage to The Attic for those wanting service for LGBTQ youth- Physical and sexual health information and supports- Referral to home based services for families- Education and recreation programming and supports- Title I tutoringYouth can be self referred, enter through the formal child welfare system, Department of Human Services, or through referrals from partner organizations throughout the county. Referrals come from family, school staff and other concerned persons."""
62,"""This program helps people who are 12 to 17 years old."""
63,Kailo Haven (Resources for Human Development - Pennsylvania)
64,40.007932
65,AllMentalHealth
66,PersonalHygiene
67,Adults18
68,12Step
69,ShortTermHousing
70,DualDiagnosis
71,SubstanceDependency
72,"""19140"""
73,"""None"""
74,"""https://www.facebook.com/kailohaven/"""
75,"""Kailo Haven (Resources for Human Development - Pennsylvania)_5552002522939392"""
76,"""Kailo Haven (Resources for Human Development - Pennsylvania)"""
77,"""This program covers residents of the following cities: Philadelphia, PA."""
78,"""2107 West Tioga Street, Philadelphia, PA 19140"""
79,AB-Kailo Haven (Resources for Human Development - Pennsylvania)
80,P-Kailo Haven (Resources for Human Development - Pennsylvania)
81,19140
82,"""tel:+1-215-225-8645"""
83,"""Resources for Human Development's Kailo Haven is a safe haven homeless shelter for individuals experiencing chronic homelessness and identified as suffering from some form of co-occuring disorders, including mental health and addiction challenges.This program provides:- Safe environment to live and sleep- Meals and snacks- Bathroom and laundry facilities- 12-step recovering meetings- Emotional Management Courses- Individualized meetings and support to obtain financial and medical benefits- Referral ServicesPlease call The Homeless Outreach Hotline at 215-225-8645."""
84,"""This program serves homeless people."""
85,RHD Fernwood Program (Resources for Human Development - Pennsylvania)
86,40.0311934
87,Individuals
88,Male
89,"""19136"""
90,"""https://www.twitter.com/@Resources4HD"""
91,"""https://www.facebook.com/ResourcesHD/timeline/"""
92,"""RHD Fernwood Program (Resources for Human Development - Pennsylvania)_4670495380209664"""
93,"""RHD Fernwood Program (Resources for Human Development - Pennsylvania)"""
94,"""2100 West Girard Avenue, Philadelphia, PA 19130"""
95,AB-RHD Fernwood Program (Resources for Human Development - Pennsylvania)
96,P-RHD Fernwood Program (Resources for Human Development - Pennsylvania)
97,19136
98,"""tel:+1-267-797-2500"""
99,"""RHD Fernwood provides emergency housing for single men in Philadelphia referred by Philadelphiaâ€™s Office of Homeless Services. Assessments focus on the immediate needs of the individual. Linkages with community services enable individuals to address primary social service and housing needs.This program provides:- Emergency housing"""
100,"""This program serves single males."""
101,Overnight Services (Horizon House)
102,39.962058
103,ReducedCost
104,MentalHealthEvaluation
105,"""https://www.facebook.com/horizonhouseinc/?fref=ts"""
106,"""Overnight Services (Horizon House)_6301124945248256"""
107,"""Overnight Services (Horizon House)"""
108,"""5901 Market Street, Philadelphia, PA 19136"""
109,AB-Overnight Services (Horizon House)
110,P-Overnight Services (Horizon House)
111,"""tel:+1-215-386-3838"""
112,"""The Horizon House Navigation Center in West Philadelphia offers a variety of support services to homeless adults all year round. Here, people have a safe haven to meet their basic needs. The center is open 7 p.m. to 6 a.m. and is available on a drop-in basis.  Services include:- Temporary shelter- Food- Shower- Clean clothing- Laundry facilities- Medical and psychiatric assessments- Case managementExtended daytime hours are available two days/week for medical and psychiatric assessments and referral services. Case management services are offered to link individuals with appropriate housing, benefits, medical care and treatment services.For more information, please call at 215-386-3838, ext. 12603"""
113,"""Saturday from 07:00 to 18:00"""
114,"""Thursday from 07:00 to 18:00"""
115,"""Monday from 07:00 to 18:00"""
116,"""Tuesday from 07:00 to 18:00"""
117,"""Wednesday from 07:00 to 18:00"""
118,"""Sunday from 07:00 to 18:00"""
119,"""Friday from 07:00 to 18:00"""
120,Emergency Shelter (Families Forward)
121,39.9617037
122,DailyLifeSkills
123,SkillsAndTraining
124,ParentingEducation
125,Families
126,FinancialEducation
127,ComputerClass
128,"""19139"""
129,"""https://www.facebook.com/FFPhiladelphia/"""
130,"""Emergency Shelter (Families Forward)_6206753615380480"""
131,"""Emergency Shelter (Families Forward)"""
132,"""111 North 49th Street, Philadelphia, PA 19139"""
133,AB-Emergency Shelter (Families Forward)
134,P-Emergency Shelter (Families Forward)
135,19139
136,"""tel:+1-215-240-4800"""
137,"""Families Forward Philadelphia offers an emergency family shelter, for families in need, that has 65 individual rooms. While obtaining housing is their top priority, they also encourage saving money â€“ working with families to dedicate funds to rent, furnishings and day-to-day living expenses once they leave the shelter.This program provides:- A warm, safe environment- Nutritious meals- Case managementAdditionally throughout the day, workshops are available to prepare families for independent living, including parenting classes, life skills development, computer classes, money management classes, and much more."""
138,"""Tuesday from 00:00 to 23:59"""
139,"""Friday from 00:00 to 23:59"""
140,"""Thursday from 00:00 to 23:59"""
141,"""Monday from 00:00 to 23:59"""
142,"""Saturday from 00:00 to 23:59"""
143,"""Sunday from 00:00 to 23:59"""
144,"""Wednesday from 00:00 to 23:59"""
145,"""All families must be referred to us through the City of Philadelphias Office of Supportive Housing central intake."""
146,Financial Assistance for Military Families (American Red Cross)
147,39.9025613
148,FinancialAssistance
149,Veterans
150,Spouses
151,NationalGuard
152,EmergencyFood
153,EmergencyPayments
154,ActiveDuty
155,BurialAndFuneralHelp
156,"""19079"""
157,"""https://www.facebook.com/redcross"""
158,"""https://www.twitter.com/@redcross"""
159,"""Financial Assistance for Military Families (American Red Cross)_5931501920976896"""
160,"""Financial Assistance for Military Families (American Red Cross)"""
