the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E61000006D8AAEA894C752C00C978F8316FD4340,3157460,0101000020110F0000E9CD58DB28E65FC1C7022C33AB8C5241,24350855,26,3,2025-01-10 12:49:00+00,2025-01-10,07:49:00,7,202526001411.0,2500 BLOCK ARAMINGO AV,600,Thefts,-75.11844842,39.97724957,39.97724957,-75.11844842
0101000020E61000008A41FDBA15CF52C01EBD4469ADFA4340,3202158,0101000020110F0000CB7977FDE7F25FC11136CB59FF895241,24352945,18,1,2025-01-10 12:57:00+00,2025-01-10,07:57:00,7,202518001441.0,5700 BLOCK WALNUT ST,600,Thefts,-75.23570133,39.95841709,39.95841709,-75.23570132
0101000020E610000046A863DF5FCC52C049FE797DDAF64340,3209559,0101000020110F0000871B1D674DEE5FC13C3552EFC2855241,24353360,1,1,2025-01-10 11:30:00+00,2025-01-10,06:30:00,6,202501000742.0,2000 BLOCK S NEWKIRK ST,600,Theft from Vehicle,-75.1933516,39.92854279,39.92854279,-75.1933516
0101000020E610000031D228B0C2CA52C0B08806CE3EFA4340,3210881,0101000020110F000068E83D918FEB5FC186D30ACD84895241,24353687,9,3,2025-01-10 10:52:00+00,2025-01-10,05:52:00,5,202509003724.0,1700 BLOCK ARCH ST,600,Thefts,-75.16813282,39.95504165,39.95504165,-75.16813282
0101000020E61000003050CE279DCA52C0E14C028AC7F84340,3211520,0101000020110F000048887CD04FEB5FC129850A0FE5875241,24353532,17,1,2025-01-10 07:12:00+00,2025-01-10,02:12:00,2,202517000856.0,600 BLOCK S BROAD ST,600,Thefts,-75.16584201,39.94358945,39.94358945,-75.16584201
0101000020E610000080FBF0E233CE52C0661B8F8443034440,3310713,0101000020110F00000561175F68F15FC1925D301184935241,24356200,5,1,2025-01-10 12:54:00+00,2025-01-10,07:54:00,7,202505000425.0,4300 BLOCK CRESSON ST,600,Theft from Vehicle,-75.2219169,40.02549798,40.02549798,-75.2219169
0101000020E6100000948234849FCD52C08C90911E4CFA4340,3311709,0101000020110F00000F7A97596CF05FC1B8B28F8D93895241,24356221,18,3,2025-01-10 07:15:00+00,2025-01-10,02:15:00,2,202518001426.0,4500 BLOCK WALNUT ST,500,Burglary Residential,-75.21286111,39.95544798,39.95544798,-75.21286111
0101000020E6100000D0B4E5D891CA52C0E8D79CA475FD4340,3314477,0101000020110F0000B75E319B3CEB5FC1808F90A2148D5241,24357538,22,3,2025-01-10 11:53:00+00,2025-01-10,06:53:00,6,202522001988.0,1700 BLOCK N GRATZ ST,400,Aggravated Assault No Firearm,-75.16515181,39.98015268,39.98015268,-75.16515181
0101000020E6100000167FC27683CE52C011E377CBBCF84340,3316751,0101000020110F000068C5AC8AEFF15FC1A1401628D9875241,24357479,12,4,2025-01-10 09:32:00+00,2025-01-10,04:32:00,4,202512002303.0,1100 BLOCK S 54TH ST,600,Thefts,-75.22677392,39.94326156,39.94326156,-75.22677392
0101000020E6100000C98E8D403CC052C019B83465440D4440,3319717,0101000020110F0000818BF6CBAED95FC18DB23BF59D9E5241,24358244,7,3,2025-01-10 06:40:00+00,2025-01-10,01:40:00,1,202507000819.0,11500 BLOCK E ROOSEVELT BLVD,300,Robbery Firearm,-75.0036775,40.10364976,40.10364976,-75.0036775
